[39.4078747, -79.4067116]
[40.9729584, -117.7356849]
[-41.2924945, 174.7732353]
[53.62894, 21.81237]
[42.284991915, -89.08395360499996]
[25.4600711, -100.984701]
[32.7558935, -111.6709584]
[35.9850639, -96.76697]
[42.7455607, -89.5948432]
[-33.05046190000001, -71.61645150000001]
[32.3199396, -106.76365379999999]
[39.9356016, -91.4098726]
[-8.129379, 115.091301]
[39.8814519, -83.0929644]
[45.3980205, -92.9874404]
[39.1697626, -91.8829484]
[13.0879407, 100.9491987]
[51.9226067, 4.2545656]
[42.4974694, -94.1680158]
[53.276135, -110.000481]
[41.42606337499999, -73.26728035833331]
[48.2325095, -101.2962732]
[43.91887616666667, -69.9688465]
[43.1381247, -75.5707345]
[48.9054358, 2.0394993]
[30.7999563, -81.6898261]
[41.9164343, -83.3977101]
[39.389925399999996, -3.2101371999999992]
[39.041616700000006, -94.444341]
[40.4675651, -80.8753645]
[43.4799291, -110.76242820000002]
[35.8240265, -80.2533838]
[-42.894654300000006, 147.32623059999997]
[39.7989528, -82.7010016]
[39.6864956, 8.7773197]
[33.9294606, -116.977248]
[46.2166667, 9.95]
[44.8374532, -108.3895614]
[39.728494399999995, -121.83747770000001]
[42.32216293333334, -122.90605876666667]
[30.608333, -87.34]
[36.6245955, -77.1246878]
[45.3, -76.7222222]
[1.530976, 110.3442199]
[3.19057, 113.0901109]
[41.60342, -73.682945]
[42.0994493125, -76.80933106250001]
[47.9252568, -97.03285470000002]
[51.238338549999995, 6.6593311]
[52.04352861666666, 4.320273533333333]
[43.6521775, -94.46108319999999]
[19.898681900000003, -155.6658568]
[50.503887, 4.469936]
[37.2255593, -107.5981123]
[41.2425531, -82.6157331]
[40.9222589, -89.4862025]
[39.5379296, -76.11233205714286]
[-0.43733589999999994, 117.24749599999998]
[26.44168444285714, -81.94231195714285]
[41.839104433333326, -72.84524876666666]
[46.677875, -96.8622001]
[38.373962414285714, -81.81906464285713]
[33.1384488, -96.1108066]
[40.1028264, -84.6330115]
[35.3395079, -97.4867028]
[39.3292396, -82.1012554]
[50.4547222, -104.6066667]
[39.765869, 64.422348]
[35.5328838, -82.8373558]
[46.294847, 7.52927]
[38.434911, -81.474873]
[43.078095733333335, -85.59569206666667]
[-19.8157306, -43.9542226]
[42.2355556, -75.8483333]
[53.7608608, -98.8138763]
[55.73042740000001, 37.5050632]
[43.8247967, -71.2047919]
[53.0265029, -2.176636]
[44.5764415, -72.2956601]
[27.9638689, -111.0436021]
[63.9126321, -22.1916474]
[31.7607195, -93.0862749]
[52.6638571, -8.6267726]
[39.8864493, -83.4482529]
[32.0577032, 35.7660383]
[32.7386713, -115.99418]
[42.4799621, -83.67367602]
[40.0411536, -86.8744516]
[21.896520400000004, -159.47265993999997]
[41.08798844, -72.38602854]
[34.033625, -117.0430865]
[47.8054749, -92.2746054]
[46.416481025, -117.0245322]
[43.4252776, -88.1834277]
[38.9259397, -79.8467349]
[45.5391335, -93.8199742]
[33.9204354, -80.3414693]
[38.2421371, -121.5116197]
[-36.506376, 148.301203]
[32.8350521, -116.7664109]
[43.1836046, -89.2137254]
[29.5635666, -95.2860474]
[51.0629403, -1.3165037]
[39.341697925, -77.841661625]
[35.154020625, -78.9867964]
[33.9261671, -94.8512118]
[42.7948894, -83.66633765]
[-8.1844859, 113.6680747]
[4.136209, 96.124878]
[42.0526114, -124.2839819]
[32.7359626, -96.2752569]
[35.0875, -106.3772222]
[42.4605904, -85.696406]
[43.53771585, -71.43854470000001]
[46.9652363, -94.8394565]
[39.2494686, -77.1821271]
[43.7547966, -71.3967392]
[41.7589954, -70.4939163]
[31.949381, 35.932911]
[38.9265035, -119.6499162]
[35.751179, -86.9300023]
[39.0288809, -104.4830238]
[33.7825194, -117.22864780000002]
[41.1408322, -96.2397418]
[40.1016979, -104.95802166666665]
[40.621488, -96.631485]
[42.4433716, -85.0180464]
[41.653538, -74.585823]
[43.0630833, -83.8510732]
[39.4830897, -88.3728255]
[52.63545, 1.3431]
[36.1198588, -80.0736533]
[33.0366667, -85.0319444]
[35.2923513, -81.5356463]
[41.5758707, -87.1761455]
[38.2359698, -77.18684416666666]
[40.4849769, -106.8317158]
[44.8078657, 10.3295478]
[42.7981229, -76.1093695]
[37.02838643333333, -93.23546186666665]
[40.5883933, -82.4248862]
[30.504358299999996, -90.4611995]
[41.8550479, -84.3538359]
[32.831238, -85.7635692]
[30.8327022, -83.2784851]
[-26.3817003, 153.0983793]
[60.0762383, 30.1213829]
[2.588968, 101.962904]
[48.5829331, 7.7437488]
[43.0516505, -91.1412404]
[29.887725, -95.5629984]
[35.5465517, -77.0521742]
[44.206667, -69.453056]
[39.3688731, -107.0328241]
[48.5342662, -123.0171242]
[35.1714733, -92.2737629]
[39.4667034, -87.4139092]
[44.4009135, -67.9750023]
[40.1483768, -89.3648183]
[38.149576, -79.0716958]
[44.3812, -79.686998]
[42.3383697, -83.8885552]
[26.4186898, -81.4172993]
[39.0750614, -84.3449387]
[42.4861111, -91.4572222]
[32.770075, -108.280326]
[33.0932748, -115.094045]
[36.9033581, -104.4391532]
[35.4495065, -97.3967019]
[34.7540524, -77.4302414]
[50.7989137, -1.0911627]
[42.018188, -93.454872]
[40.47222, -78.83361]
[25.53965, -103.517097]
[2.1153547, 99.5450974]
[-32.8970039, 151.7005582]
[48.7405216, 7.8031336]
[43.2976116, 5.3810421]
[30.6696818, -81.4625919]
[34.9495672, -81.9320482]
[44.0060847, -97.1139496]
[47.4234599, -120.3103494]
[37.1675652, -95.1099645]
[35.3237528, -80.6559017]
[45.4609359, -123.9679079]
[47.4873895, -117.5757622]
[35.0886963, -92.4421011]
[31.15036, -81.394341]
[44.376651, -103.7296415]
[32.2732024, -89.9859158]
[42.8102794, -89.8620682]
[58.3636559, 11.2302535]
[43.0663612, -92.6724112]
[37.2635727, 127.0286009]
[43.8750174, -85.5100498]
[40.3014581, -79.5389289]
[50.6761111, -120.3408333]
[39.33374, -78.053184]
[47.8626013, -121.8165095]
[40.8532704, 29.8815203]
[36.3125963, -95.61609]
[53.7577292, -2.7034403]
[32.4073589, -87.0211007]
[45.8491796, -84.6189339]
[32.7169988, -116.8761347]
[41.3750937, -74.692663]
[35.6780104, -119.2292748]
[35.1112478, -81.2264646]
[30.1174351, -83.5818147]
[18.5204303, 73.8567437]
[46.484583, 30.7326]
[47.3176385, -119.5536491]
[21.9586111, -159.6708333]
[55.9118089, -4.7359063]
[49.731705, -114.887624]
[35.3192254, 139.5466868]
[35.6290093, -82.1806697]
[38.2206101, -90.3959543]
[5.4166667, 100.3166667]
[36.6536111, -87.4597222]
[41.942833, -79.9844968]
[35.132222, -82.934167]
[40.1731433, -77.3985963]
[44.374161, -83.797279]
[-1.265386, 116.8312]
[-0.881142, 131.249603]
[48.8794866, 2.7648167]
[14.4319444, 120.8802778]
[35.53639, -82.69306]
[48.758147, -123.237994]
[29.6475331, -84.8958731]
[39.9375911, -77.6611022]
[42.6289495, -78.7375289]
[31.2232313, -85.3904888]
[35.3848841, -77.9927651]
[40.9649681, -5.6630253]
[31.3787916, -95.3213317]
[34.0026005, -85.0416133]
[43.1452778, -95.1472222]
[40.8772222, -80.6877778]
[54.891456, 10.404684]
[42.6011194, -89.6384532]
[49.2348506, 6.9944016]
[30.6163073, -92.057063]
[28.967194, -98.4786269]
[51.153139, 14.975297]
[37.7415949, -121.1243828]
[46.227638, 2.213749]
[37.9371799, -107.810855]
[21.0333333, 105.85]
[38.4095298, -82.2945923]
